Label
x7500y3500_1700_DAPI
x7500y3500_1700_CD3
x7500y3500_1700_CD4
x7500y3500_1700_CD8a
x7500y3500_1700_CD11b
x7500y3500_1700_CD20
x7500y3500_1700_CD45
x7500y3500_1700_CD68
